name,address,lat,lon,top_category,sub_category,base_type,source,raw
창4동새마을문고,,37.652259,127.051481,느좋,작은도서관,LIBRARY,OSM,"{""amenity"": ""library"", ""name"": ""창4동새마을문고"", ""name:en"": ""Chang 4 Dongsae Village Library"", ""name:ko"": ""창4동새마을문고"", ""name:ko-Latn"": ""Chang 4 Dongsaemaeulmungo"", ""ncat"": ""도서관"", ""source"": ""http://kr.open.gugi.yahoo.com""}"
쌍문3동문고,,37.6489104,127.0280041,느좋,작은도서관,LIBRARY,OSM,"{""amenity"": ""library"", ""name"": ""쌍문3동문고"", ""name:en"": ""Ssangmun 3 Dong Library"", ""name:ko"": ""쌍문3동문고"", ""name:ko-Latn"": ""Ssangmun 3 Dongmungo""}"
창2동새마을문고,,37.641379,127.035482,느좋,작은도서관,LIBRARY,OSM,"{""amenity"": ""library"", ""name"": ""창2동새마을문고"", ""name:en"": ""Chang 2 Dongsae Village Library"", ""name:ko"": ""창2동새마을문고"", ""name:ko-Latn"": ""Chang 2 Dongsaemaeulmungo"", ""ncat"": ""도서관"", ""source"": ""http://kr.open.gugi.yahoo.com""}"
창3동새마을문고,,37.637273,127.042516,느좋,작은도서관,LIBRARY,OSM,"{""amenity"": ""library"", ""name"": ""창3동새마을문고"", ""name:en"": ""Chang 3 Dongsae Village Library"", ""name:ko"": ""창3동새마을문고"", ""name:ko-Latn"": ""Chang 3 Dongsaemaeulmungo"", ""ncat"": ""도서관"", ""source"": ""http://kr.open.gugi.yahoo.com""}"
도봉2동문고,,37.66971,127.046498,느좋,작은도서관,LIBRARY,OSM,"{""amenity"": ""library"", ""name"": ""도봉2동문고"", ""name:en"": ""Dobong 2 Dong Library"", ""name:ko"": ""도봉2동문고"", ""name:ko-Latn"": ""Dobong 2 Dongmungo"", ""ncat"": ""도서관"", ""source"": ""http://kr.open.gugi.yahoo.com""}"
방학1동문고,,37.664246,127.040617,느좋,작은도서관,LIBRARY,OSM,"{""amenity"": ""library"", ""name"": ""방학1동문고"", ""name:en"": ""Banghak 1 Dong Library"", ""name:ko"": ""방학1동문고"", ""name:ko-Latn"": ""Banghak 1 Dongmungo"", ""ncat"": ""도서관"", ""source"": ""http://kr.open.gugi.yahoo.com""}"
방학2동문고,,37.668283,127.034999,느좋,작은도서관,LIBRARY,OSM,"{""amenity"": ""library"", ""name"": ""방학2동문고"", ""name:en"": ""Banghak 2 Dong Library"", ""name:ko"": ""방학2동문고"", ""name:ko-Latn"": ""Banghak 2 Dongmungo"", ""ncat"": ""도서관"", ""source"": ""http://kr.open.gugi.yahoo.com""}"
방학3동문고,,37.659213,127.027873,느좋,작은도서관,LIBRARY,OSM,"{""amenity"": ""library"", ""name"": ""방학3동문고"", ""name:en"": ""Banghak 3 Dong Library"", ""name:ko"": ""방학3동문고"", ""name:ko-Latn"": ""Banghak 3 Dongmungo"", ""ncat"": ""도서관"", ""source"": ""http://kr.open.gugi.yahoo.com""}"
방학4동문고,,37.659888,127.023421,느좋,작은도서관,LIBRARY,OSM,"{""amenity"": ""library"", ""name"": ""방학4동문고"", ""name:en"": ""Banghak 4 Dong Library"", ""name:ko"": ""방학4동문고"", ""name:ko-Latn"": ""Banghak 4 Dongmungo""}"
쌍문1동문고,,37.6480059,127.0259799,느좋,작은도서관,LIBRARY,OSM,"{""amenity"": ""library"", ""name"": ""쌍문1동문고"", ""name:en"": ""Ssangmun 1 Dong Library"", ""name:ja"": ""双門1洞文庫"", ""name:ko"": ""쌍문1동문고"", ""name:ko-Latn"": ""Ssangmun 1 Dongmungo"", ""ncat"": ""도서관"", ""source"": ""http://kr.open.gugi.yahoo.com""}"
창1동문고,,37.648403,127.043767,느좋,작은도서관,LIBRARY,OSM,"{""amenity"": ""library"", ""name"": ""창1동문고"", ""name:en"": ""Chang 1 Dong Library"", ""name:ko"": ""창1동문고"", ""name:ko-Latn"": ""Chang 1 Dongmungo"", ""ncat"": ""도서관"", ""source"": ""http://kr.open.gugi.yahoo.com""}"
쌍문4동문고,,37.655316,127.028491,느좋,작은도서관,LIBRARY,OSM,"{""amenity"": ""library"", ""name"": ""쌍문4동문고"", ""name:en"": ""Ssangmun 4 Dong Library"", ""name:ja"": ""雙門4洞文庫"", ""name:ko"": ""쌍문4동문고"", ""name:ko-Latn"": ""Ssangmun 4 Dongmungo"", ""ncat"": ""도서관"", ""source"": ""http://kr.open.gugi.yahoo.com""}"
서울특별시립도봉도서관,,37.652913,127.027717,느좋,작은도서관,LIBRARY,OSM,"{""amenity"": ""library"", ""name"": ""서울특별시립도봉도서관"", ""name:en"": ""Seoul Dobong Library"", ""name:ja"": ""ソウル特別市 道峰図書館"", ""name:ko"": ""서울특별시립도봉도서관"", ""name:ko-Latn"": ""Seoulteukbyeolsiripdobongdoseogwan"", ""ncat"": ""도서관"", ""source"": ""http://kr.open.gugi.yahoo.com""}"
덕성여자대학교 도서관,,37.650993,127.016839,느좋,작은도서관,LIBRARY,OSM,"{""amenity"": ""library"", ""name"": ""덕성여자대학교 도서관"", ""name:en"": ""Deokseong Womans University Library"", ""name:ko"": ""덕성여자대학교 도서관"", ""name:ko-Latn"": ""Deokseongyeojadaehakgyo Doseogwan"", ""ncat"": ""도서관"", ""source"": ""http://kr.open.gugi.yahoo.com""}"
마당바위,,37.6941013,127.0171312,느좋,전망대,ATTRACTION,OSM,"{""ele"": ""454"", ""name"": ""마당바위"", ""name:en"": ""Madang Rock"", ""name:ko"": ""마당바위"", ""name:ko-Latn"": ""Madangbawi"", ""tourism"": ""attraction""}"
신선대,,37.6986404,127.0150277,느좋,전망대,VIEWPOINT,OSM,"{""ele"": ""726"", ""name"": ""신선대"", ""name:en"": ""Sinseondae"", ""name:ko"": ""신선대"", ""name:ko-Latn"": ""Sinseondae"", ""tourism"": ""viewpoint"", ""wpt_description"": ""비선대""}"
삼춘네커피집,,37.6500535,127.0283311,느좋,독립카페,CAFE,OSM,"{""addr:city"": ""서울특별시"", ""addr:district"": ""도봉구"", ""addr:housenumber"": ""178"", ""addr:street"": ""노해로"", ""addr:subdistrict"": ""쌍문동"", ""amenity"": ""cafe"", ""cuisine"": ""coffee_shop"", ""name"": ""삼춘네커피집""}"
Baskin Robbins Ssangmun,,37.6588349,127.0352602,느좋,독립카페,CAFE,OSM,"{""addr:city"": ""서울특별시"", ""addr:district"": ""도봉구"", ""addr:housenumber"": ""6"", ""addr:street"": ""도당로"", ""addr:subdistrict"": ""쌍문동"", ""air_conditioning"": ""yes"", ""amenity"": ""cafe"", ""baby_feeding"": ""no"", ""cash_withdrawal:currency"": ""KRW"", ""cash_withdrawal:foreign_cards"": ""yes"", ""cash_withdrawal:purchase_minimum"": ""no"", ""cash_withdrawal:purchase_required"": ""yes"", ""changing_table"": ""no"", ""changing_table:count"": ""2"", ""changing_table:fee"": ""no"", ""changing_table:location"": ""sales_area"", ""cuisine"": ""ice_cream"", ""delivery"": ""yes"", ""indoor_seating"": ""yes"", ""internet_access"": ""wlan"", ""internet_access:fee"": ""no"", ""name"": ""Baskin Robbins Ssangmun"", ""name:ja"": ""バスキンロビンスサンムン点"", ""name:ko"": ""베스킨라빈스 쌍문점"", ""opening_hours"": ""Mo-Su 10:00-23:00"", ""operator"": ""BR Korea Co."", ""smoking"": ""no"", ""takeaway"": ""yes"", ""toilets"": ""yes"", ""toilets:access"": ""permissive"", ""toilets:wheelchair"": ""no"", ""wheelchair"": ""limited"", ""wheelchair:description"": ""Has stiff runway""}"
둘리도서관,,37.6521582,127.0276611,느좋,작은도서관,LIBRARY,OSM,"{""amenity"": ""library"", ""name"": ""둘리도서관"", ""name:en"": ""Dooly library"", ""name:ja"": ""ドゥーリー図書館""}"
쌍둥이전망대,,37.6738479,127.0292746,느좋,뷰카페,VIEWPOINT,OSM,"{""access"": ""yes"", ""direction"": ""0-360"", ""name"": ""쌍둥이전망대"", ""name:en"": ""Ssangdungi Observatory"", ""name:ko"": ""쌍둥이전망대"", ""tourism"": ""viewpoint""}"
도봉산장,,37.6936186,127.02259,느좋,독립카페,CAFE,OSM,"{""amenity"": ""cafe"", ""cuisine"": ""coffee"", ""name"": ""도봉산장"", ""name:en"": ""Dobong Sanjang"", ""name:ko"": ""도봉산장""}"
투썸플레이스 쌍문중앙점,,37.6486586,127.0350449,느좋,독립카페,CAFE,OSM,"{""amenity"": ""cafe"", ""cuisine"": ""coffee_shop"", ""name"": ""투썸플레이스 쌍문중앙점""}"
공차 쌍문역점,,37.6481749,127.0347127,느좋,독립카페,CAFE,OSM,"{""amenity"": ""cafe"", ""cuisine"": ""coffee_shop"", ""name"": ""공차 쌍문역점""}"
쌍문역 작은 도서관,,37.6474391,127.0342409,느좋,작은도서관,LIBRARY,OSM,"{""amenity"": ""library"", ""name"": ""쌍문역 작은 도서관""}"
seolleba coffeetable,,37.6463085,127.0366795,느좋,독립카페,CAFE,OSM,"{""amenity"": ""cafe"", ""name"": ""seolleba coffeetable""}"
커피낙타,,37.6865317,127.0377299,느좋,독립카페,CAFE,OSM,"{""amenity"": ""cafe"", ""cuisine"": ""coffee_shop"", ""name"": ""커피낙타""}"
서울둘레길8코스북한산6스탬프,,37.6860937,127.0363943,느좋,둘레길/숲길,POST_BOX,OSM,"{""amenity"": ""post_box"", ""hiking"": ""yes"", ""name"": ""서울둘레길8코스북한산6스탬프"", ""name:en"": ""[Seoul Trail] Stamp Deck"", ""tourism"": ""attraction""}"
전망대,,37.7009803,127.0158483,느좋,뷰카페,VIEWPOINT,OSM,"{""name"": ""전망대"", ""name:en"": ""Observatory"", ""tourism"": ""viewpoint""}"
또와 커피,,37.6743507,127.0475833,느좋,독립카페,CAFE,OSM,"{""amenity"": ""cafe"", ""name"": ""또와 커피""}"
스노우플러스,,37.6748961,127.0474522,느좋,독립카페,CAFE,OSM,"{""amenity"": ""cafe"", ""name"": ""스노우플러스""}"
엉클두,,37.6543045,127.0451634,느좋,독립카페,CAFE,OSM,"{""amenity"": ""cafe"", ""name"": ""엉클두""}"
카페만월경,,37.6506955,127.041383,느좋,독립카페,CAFE,OSM,"{""amenity"": ""cafe"", ""cuisine"": ""coffee_shop"", ""name"": ""카페만월경""}"
서울창포원,,37.6895014,127.0477619,느좋,근린공원,PARK,OSM,"{""leisure"": ""park"", ""name"": ""서울창포원"", ""name:en"": ""Seoul Iris Garden (Seoul Botanical Garden)"", ""name:ja"": ""ソウル菖蒲園"", ""name:ko"": ""서울창포원""}"
간이다리,,37.6612497,127.0146658,느좋,둘레길/숲길,FOOTWAY,OSM,"{""bicycle"": ""yes"", ""bridge"": ""yes"", ""highway"": ""footway"", ""layer"": ""1"", ""motor_vehicle"": ""yes"", ""name"": ""간이다리""}"
평화도봉공원,,37.6623394,127.0430894,느좋,근린공원,PARK,OSM,"{""leisure"": ""park"", ""name"": ""평화도봉공원""}"
평화도봉공원,,37.6623602,127.0417585,느좋,근린공원,PARK,OSM,"{""leisure"": ""park"", ""name"": ""평화도봉공원""}"
평화도봉공원,,37.6632679,127.041885,느좋,근린공원,PARK,OSM,"{""leisure"": ""park"", ""name"": ""평화도봉공원""}"
평화도봉공원,,37.6632614,127.0430946,느좋,근린공원,PARK,OSM,"{""leisure"": ""park"", ""name"": ""평화도봉공원"", ""name:ja"": ""平和道峰公園""}"
도당로2길,,37.6588135,127.0385914,느좋,둘레길/숲길,FOOTWAY,OSM,"{""highway"": ""footway"", ""name"": ""도당로2길"", ""name:en"": ""Dodang-ro 2-gil"", ""name:ko"": ""도당로2길"", ""surface"": ""paved""}"
초안산근린공원,,37.6453121,127.0448273,느좋,근린공원,PARK,OSM,"{""leisure"": ""park"", ""name"": ""초안산근린공원""}"
I'PARK 공원,,37.6601938,127.045378,느좋,근린공원,PARK,OSM,"{""leisure"": ""park"", ""name"": ""I'PARK 공원"", ""name:en"": ""I'PARK Apartment Park""}"
둥근달 공원,,37.6496724,127.030172,느좋,근린공원,PARK,OSM,"{""leisure"": ""park"", ""name"": ""둥근달 공원""}"
월천근린공원,,37.6475652,127.0508697,느좋,근린공원,PARK,OSM,"{""leisure"": ""park"", ""name"": ""월천근린공원""}"
초안산 숲속 공원,,37.6447704,127.0493514,느좋,근린공원,PARK,OSM,"{""leisure"": ""park"", ""name"": ""초안산 숲속 공원""}"
창골 어린이 공원,,37.6431385,127.048262,느좋,근린공원,PARK,OSM,"{""leisure"": ""park"", ""name"": ""창골 어린이 공원""}"
도봉로139길,,37.6597482,127.0376366,느좋,둘레길/숲길,FOOTWAY,OSM,"{""highway"": ""footway"", ""name"": ""도봉로139길"", ""name:en"": ""Dobong-ro 139-gil"", ""name:ko"": ""도봉로139길"", ""surface"": ""paved""}"
도봉로139길,,37.6602135,127.0376434,느좋,둘레길/숲길,FOOTWAY,OSM,"{""highway"": ""footway"", ""name"": ""도봉로139길"", ""name:en"": ""Dobong-ro 139-gil"", ""name:ko"": ""도봉로139길"", ""surface"": ""paved""}"
소망어린이공원,,37.6635285,127.0369633,느좋,근린공원,PARK,OSM,"{""leisure"": ""park"", ""name"": ""소망어린이공원""}"
노해어린이공원,,37.6609064,127.0397143,느좋,근린공원,PARK,OSM,"{""leisure"": ""park"", ""name"": ""노해어린이공원""}"
발바닥공원,,37.6594342,127.0304218,느좋,근린공원,PARK,OSM,"{""leisure"": ""park"", ""name"": ""발바닥공원""}"
초안산근린공원,,37.6481941,127.0412233,느좋,근린공원,PARK,OSM,"{""leisure"": ""park"", ""name"": ""초안산근린공원""}"
초안산근린공원,,37.6480397,127.0455664,느좋,근린공원,PARK,OSM,"{""leisure"": ""park"", ""name"": ""초안산근린공원""}"
꽃동네놀이터,,37.6506183,127.0229236,느좋,근린공원,PARK,OSM,"{""leisure"": ""park"", ""name"": ""꽃동네놀이터""}"
사슴어린이공원,,37.6644421,127.0417568,느좋,근린공원,PARK,OSM,"{""leisure"": ""park"", ""name"": ""사슴어린이공원""}"
뒷마을어린이공원,,37.6637434,127.0336224,느좋,근린공원,PARK,OSM,"{""leisure"": ""park"", ""name"": ""뒷마을어린이공원""}"
달내어린이공원,,37.6427422,127.0352605,느좋,근린공원,PARK,OSM,"{""leisure"": ""park"", ""name"": ""달내어린이공원""}"
창고개어린이공원,,37.6447278,127.0393326,느좋,근린공원,PARK,OSM,"{""leisure"": ""park"", ""name"": ""창고개어린이공원""}"
다람쥐어린이공원,,37.6452033,127.0349319,느좋,근린공원,PARK,OSM,"{""leisure"": ""park"", ""name"": ""다람쥐어린이공원""}"
창2동마을공원,,37.6412078,127.0362834,느좋,근린공원,PARK,OSM,"{""leisure"": ""park"", ""name"": ""창2동마을공원""}"
