source,name,address,lat,lon,base_type,raw
OSM,창4동새마을문고,,37.652259,127.051481,LIBRARY,"{""amenity"": ""library"", ""name"": ""창4동새마을문고"", ""name:en"": ""Chang 4 Dongsae Village Library"", ""name:ko"": ""창4동새마을문고"", ""name:ko-Latn"": ""Chang 4 Dongsaemaeulmungo"", ""ncat"": ""도서관"", ""source"": ""http://kr.open.gugi.yahoo.com""}"
OSM,쌍문3동문고,,37.6489104,127.0280041,LIBRARY,"{""amenity"": ""library"", ""name"": ""쌍문3동문고"", ""name:en"": ""Ssangmun 3 Dong Library"", ""name:ko"": ""쌍문3동문고"", ""name:ko-Latn"": ""Ssangmun 3 Dongmungo""}"
OSM,창2동새마을문고,,37.641379,127.035482,LIBRARY,"{""amenity"": ""library"", ""name"": ""창2동새마을문고"", ""name:en"": ""Chang 2 Dongsae Village Library"", ""name:ko"": ""창2동새마을문고"", ""name:ko-Latn"": ""Chang 2 Dongsaemaeulmungo"", ""ncat"": ""도서관"", ""source"": ""http://kr.open.gugi.yahoo.com""}"
OSM,창3동새마을문고,,37.637273,127.042516,LIBRARY,"{""amenity"": ""library"", ""name"": ""창3동새마을문고"", ""name:en"": ""Chang 3 Dongsae Village Library"", ""name:ko"": ""창3동새마을문고"", ""name:ko-Latn"": ""Chang 3 Dongsaemaeulmungo"", ""ncat"": ""도서관"", ""source"": ""http://kr.open.gugi.yahoo.com""}"
OSM,도봉2동문고,,37.66971,127.046498,LIBRARY,"{""amenity"": ""library"", ""name"": ""도봉2동문고"", ""name:en"": ""Dobong 2 Dong Library"", ""name:ko"": ""도봉2동문고"", ""name:ko-Latn"": ""Dobong 2 Dongmungo"", ""ncat"": ""도서관"", ""source"": ""http://kr.open.gugi.yahoo.com""}"
OSM,방학1동문고,,37.664246,127.040617,LIBRARY,"{""amenity"": ""library"", ""name"": ""방학1동문고"", ""name:en"": ""Banghak 1 Dong Library"", ""name:ko"": ""방학1동문고"", ""name:ko-Latn"": ""Banghak 1 Dongmungo"", ""ncat"": ""도서관"", ""source"": ""http://kr.open.gugi.yahoo.com""}"
OSM,방학2동문고,,37.668283,127.034999,LIBRARY,"{""amenity"": ""library"", ""name"": ""방학2동문고"", ""name:en"": ""Banghak 2 Dong Library"", ""name:ko"": ""방학2동문고"", ""name:ko-Latn"": ""Banghak 2 Dongmungo"", ""ncat"": ""도서관"", ""source"": ""http://kr.open.gugi.yahoo.com""}"
OSM,방학3동문고,,37.659213,127.027873,LIBRARY,"{""amenity"": ""library"", ""name"": ""방학3동문고"", ""name:en"": ""Banghak 3 Dong Library"", ""name:ko"": ""방학3동문고"", ""name:ko-Latn"": ""Banghak 3 Dongmungo"", ""ncat"": ""도서관"", ""source"": ""http://kr.open.gugi.yahoo.com""}"
OSM,방학4동문고,,37.659888,127.023421,LIBRARY,"{""amenity"": ""library"", ""name"": ""방학4동문고"", ""name:en"": ""Banghak 4 Dong Library"", ""name:ko"": ""방학4동문고"", ""name:ko-Latn"": ""Banghak 4 Dongmungo""}"
OSM,쌍문1동문고,,37.6480059,127.0259799,LIBRARY,"{""amenity"": ""library"", ""name"": ""쌍문1동문고"", ""name:en"": ""Ssangmun 1 Dong Library"", ""name:ja"": ""双門1洞文庫"", ""name:ko"": ""쌍문1동문고"", ""name:ko-Latn"": ""Ssangmun 1 Dongmungo"", ""ncat"": ""도서관"", ""source"": ""http://kr.open.gugi.yahoo.com""}"
OSM,창1동문고,,37.648403,127.043767,LIBRARY,"{""amenity"": ""library"", ""name"": ""창1동문고"", ""name:en"": ""Chang 1 Dong Library"", ""name:ko"": ""창1동문고"", ""name:ko-Latn"": ""Chang 1 Dongmungo"", ""ncat"": ""도서관"", ""source"": ""http://kr.open.gugi.yahoo.com""}"
OSM,쌍문4동문고,,37.655316,127.028491,LIBRARY,"{""amenity"": ""library"", ""name"": ""쌍문4동문고"", ""name:en"": ""Ssangmun 4 Dong Library"", ""name:ja"": ""雙門4洞文庫"", ""name:ko"": ""쌍문4동문고"", ""name:ko-Latn"": ""Ssangmun 4 Dongmungo"", ""ncat"": ""도서관"", ""source"": ""http://kr.open.gugi.yahoo.com""}"
OSM,서울특별시립도봉도서관,,37.652913,127.027717,LIBRARY,"{""amenity"": ""library"", ""name"": ""서울특별시립도봉도서관"", ""name:en"": ""Seoul Dobong Library"", ""name:ja"": ""ソウル特別市 道峰図書館"", ""name:ko"": ""서울특별시립도봉도서관"", ""name:ko-Latn"": ""Seoulteukbyeolsiripdobongdoseogwan"", ""ncat"": ""도서관"", ""source"": ""http://kr.open.gugi.yahoo.com""}"
OSM,덕성여자대학교 도서관,,37.650993,127.016839,LIBRARY,"{""amenity"": ""library"", ""name"": ""덕성여자대학교 도서관"", ""name:en"": ""Deokseong Womans University Library"", ""name:ko"": ""덕성여자대학교 도서관"", ""name:ko-Latn"": ""Deokseongyeojadaehakgyo Doseogwan"", ""ncat"": ""도서관"", ""source"": ""http://kr.open.gugi.yahoo.com""}"
OSM,마당바위,,37.6941013,127.0171312,ATTRACTION,"{""ele"": ""454"", ""name"": ""마당바위"", ""name:en"": ""Madang Rock"", ""name:ko"": ""마당바위"", ""name:ko-Latn"": ""Madangbawi"", ""tourism"": ""attraction""}"
OSM,신선대,,37.6986404,127.0150277,VIEWPOINT,"{""ele"": ""726"", ""name"": ""신선대"", ""name:en"": ""Sinseondae"", ""name:ko"": ""신선대"", ""name:ko-Latn"": ""Sinseondae"", ""tourism"": ""viewpoint"", ""wpt_description"": ""비선대""}"
OSM,삼춘네커피집,,37.6500535,127.0283311,CAFE,"{""addr:city"": ""서울특별시"", ""addr:district"": ""도봉구"", ""addr:housenumber"": ""178"", ""addr:street"": ""노해로"", ""addr:subdistrict"": ""쌍문동"", ""amenity"": ""cafe"", ""cuisine"": ""coffee_shop"", ""name"": ""삼춘네커피집""}"
OSM,Baskin Robbins Ssangmun,,37.6588349,127.0352602,CAFE,"{""addr:city"": ""서울특별시"", ""addr:district"": ""도봉구"", ""addr:housenumber"": ""6"", ""addr:street"": ""도당로"", ""addr:subdistrict"": ""쌍문동"", ""air_conditioning"": ""yes"", ""amenity"": ""cafe"", ""baby_feeding"": ""no"", ""cash_withdrawal:currency"": ""KRW"", ""cash_withdrawal:foreign_cards"": ""yes"", ""cash_withdrawal:purchase_minimum"": ""no"", ""cash_withdrawal:purchase_required"": ""yes"", ""changing_table"": ""no"", ""changing_table:count"": ""2"", ""changing_table:fee"": ""no"", ""changing_table:location"": ""sales_area"", ""cuisine"": ""ice_cream"", ""delivery"": ""yes"", ""indoor_seating"": ""yes"", ""internet_access"": ""wlan"", ""internet_access:fee"": ""no"", ""name"": ""Baskin Robbins Ssangmun"", ""name:ja"": ""バスキンロビンスサンムン点"", ""name:ko"": ""베스킨라빈스 쌍문점"", ""opening_hours"": ""Mo-Su 10:00-23:00"", ""operator"": ""BR Korea Co."", ""smoking"": ""no"", ""takeaway"": ""yes"", ""toilets"": ""yes"", ""toilets:access"": ""permissive"", ""toilets:wheelchair"": ""no"", ""wheelchair"": ""limited"", ""wheelchair:description"": ""Has stiff runway""}"
OSM,이디야커피,,37.6572122,127.0279944,CAFE,"{""addr:city"": ""서울특별시"", ""addr:district"": ""도봉구"", ""addr:housenumber"": ""255"", ""addr:street"": ""해등로(Haedeung-ro)"", ""addr:subdistrict"": ""쌍문동"", ""amenity"": ""cafe"", ""cuisine"": ""coffee_shop"", ""name"": ""이디야커피""}"
OSM,둘리도서관,,37.6521582,127.0276611,LIBRARY,"{""amenity"": ""library"", ""name"": ""둘리도서관"", ""name:en"": ""Dooly library"", ""name:ja"": ""ドゥーリー図書館""}"
OSM,쌍둥이전망대,,37.6738479,127.0292746,VIEWPOINT,"{""access"": ""yes"", ""direction"": ""0-360"", ""name"": ""쌍둥이전망대"", ""name:en"": ""Ssangdungi Observatory"", ""name:ko"": ""쌍둥이전망대"", ""tourism"": ""viewpoint""}"
OSM,도봉산장,,37.6936186,127.02259,CAFE,"{""amenity"": ""cafe"", ""cuisine"": ""coffee"", ""name"": ""도봉산장"", ""name:en"": ""Dobong Sanjang"", ""name:ko"": ""도봉산장""}"
OSM,투썸플레이스 쌍문중앙점,,37.6486586,127.0350449,CAFE,"{""amenity"": ""cafe"", ""cuisine"": ""coffee_shop"", ""name"": ""투썸플레이스 쌍문중앙점""}"
OSM,공차 쌍문역점,,37.6481749,127.0347127,CAFE,"{""amenity"": ""cafe"", ""cuisine"": ""coffee_shop"", ""name"": ""공차 쌍문역점""}"
OSM,쌍문역 작은 도서관,,37.6474391,127.0342409,LIBRARY,"{""amenity"": ""library"", ""name"": ""쌍문역 작은 도서관""}"
OSM,seolleba coffeetable,,37.6463085,127.0366795,CAFE,"{""amenity"": ""cafe"", ""name"": ""seolleba coffeetable""}"
OSM,커피낙타,,37.6865317,127.0377299,CAFE,"{""amenity"": ""cafe"", ""cuisine"": ""coffee_shop"", ""name"": ""커피낙타""}"
OSM,서울둘레길8코스북한산6스탬프,,37.6860937,127.0363943,POST_BOX,"{""amenity"": ""post_box"", ""hiking"": ""yes"", ""name"": ""서울둘레길8코스북한산6스탬프"", ""name:en"": ""[Seoul Trail] Stamp Deck"", ""tourism"": ""attraction""}"
OSM,전망대,,37.7009803,127.0158483,VIEWPOINT,"{""name"": ""전망대"", ""name:en"": ""Observatory"", ""tourism"": ""viewpoint""}"
OSM,또와 커피,,37.6743507,127.0475833,CAFE,"{""amenity"": ""cafe"", ""name"": ""또와 커피""}"
OSM,스노우플러스,,37.6748961,127.0474522,CAFE,"{""amenity"": ""cafe"", ""name"": ""스노우플러스""}"
OSM,엉클두,,37.6543045,127.0451634,CAFE,"{""amenity"": ""cafe"", ""name"": ""엉클두""}"
OSM,카페만월경,,37.6506955,127.041383,CAFE,"{""amenity"": ""cafe"", ""cuisine"": ""coffee_shop"", ""name"": ""카페만월경""}"
OSM,서울창포원,,37.6895014,127.0477619,PARK,"{""leisure"": ""park"", ""name"": ""서울창포원"", ""name:en"": ""Seoul Iris Garden (Seoul Botanical Garden)"", ""name:ja"": ""ソウル菖蒲園"", ""name:ko"": ""서울창포원""}"
OSM,간이다리,,37.6612497,127.0146658,FOOTWAY,"{""bicycle"": ""yes"", ""bridge"": ""yes"", ""highway"": ""footway"", ""layer"": ""1"", ""motor_vehicle"": ""yes"", ""name"": ""간이다리""}"
OSM,평화도봉공원,,37.6623394,127.0430894,PARK,"{""leisure"": ""park"", ""name"": ""평화도봉공원""}"
OSM,평화도봉공원,,37.6623602,127.0417585,PARK,"{""leisure"": ""park"", ""name"": ""평화도봉공원""}"
OSM,평화도봉공원,,37.6632679,127.041885,PARK,"{""leisure"": ""park"", ""name"": ""평화도봉공원""}"
OSM,평화도봉공원,,37.6632614,127.0430946,PARK,"{""leisure"": ""park"", ""name"": ""평화도봉공원"", ""name:ja"": ""平和道峰公園""}"
OSM,도당로2길,,37.6588135,127.0385914,FOOTWAY,"{""highway"": ""footway"", ""name"": ""도당로2길"", ""name:en"": ""Dodang-ro 2-gil"", ""name:ko"": ""도당로2길"", ""surface"": ""paved""}"
OSM,초안산근린공원,,37.6453121,127.0448273,PARK,"{""leisure"": ""park"", ""name"": ""초안산근린공원""}"
OSM,I'PARK 공원,,37.6601938,127.045378,PARK,"{""leisure"": ""park"", ""name"": ""I'PARK 공원"", ""name:en"": ""I'PARK Apartment Park""}"
OSM,둥근달 공원,,37.6496724,127.030172,PARK,"{""leisure"": ""park"", ""name"": ""둥근달 공원""}"
OSM,월천근린공원,,37.6475652,127.0508697,PARK,"{""leisure"": ""park"", ""name"": ""월천근린공원""}"
OSM,초안산 숲속 공원,,37.6447704,127.0493514,PARK,"{""leisure"": ""park"", ""name"": ""초안산 숲속 공원""}"
OSM,창골 어린이 공원,,37.6431385,127.048262,PARK,"{""leisure"": ""park"", ""name"": ""창골 어린이 공원""}"
OSM,도봉로139길,,37.6597482,127.0376366,FOOTWAY,"{""highway"": ""footway"", ""name"": ""도봉로139길"", ""name:en"": ""Dobong-ro 139-gil"", ""name:ko"": ""도봉로139길"", ""surface"": ""paved""}"
OSM,도봉로139길,,37.6602135,127.0376434,FOOTWAY,"{""highway"": ""footway"", ""name"": ""도봉로139길"", ""name:en"": ""Dobong-ro 139-gil"", ""name:ko"": ""도봉로139길"", ""surface"": ""paved""}"
OSM,소망어린이공원,,37.6635285,127.0369633,PARK,"{""leisure"": ""park"", ""name"": ""소망어린이공원""}"
OSM,노해어린이공원,,37.6609064,127.0397143,PARK,"{""leisure"": ""park"", ""name"": ""노해어린이공원""}"
OSM,발바닥공원,,37.6594342,127.0304218,PARK,"{""leisure"": ""park"", ""name"": ""발바닥공원""}"
OSM,초안산근린공원,,37.6481941,127.0412233,PARK,"{""leisure"": ""park"", ""name"": ""초안산근린공원""}"
OSM,초안산근린공원,,37.6480397,127.0455664,PARK,"{""leisure"": ""park"", ""name"": ""초안산근린공원""}"
OSM,꽃동네놀이터,,37.6506183,127.0229236,PARK,"{""leisure"": ""park"", ""name"": ""꽃동네놀이터""}"
OSM,사슴어린이공원,,37.6644421,127.0417568,PARK,"{""leisure"": ""park"", ""name"": ""사슴어린이공원""}"
OSM,뒷마을어린이공원,,37.6637434,127.0336224,PARK,"{""leisure"": ""park"", ""name"": ""뒷마을어린이공원""}"
OSM,달내어린이공원,,37.6427422,127.0352605,PARK,"{""leisure"": ""park"", ""name"": ""달내어린이공원""}"
OSM,창고개어린이공원,,37.6447278,127.0393326,PARK,"{""leisure"": ""park"", ""name"": ""창고개어린이공원""}"
OSM,다람쥐어린이공원,,37.6452033,127.0349319,PARK,"{""leisure"": ""park"", ""name"": ""다람쥐어린이공원""}"
OSM,창2동마을공원,,37.6412078,127.0362834,PARK,"{""leisure"": ""park"", ""name"": ""창2동마을공원""}"
OSM,꿈동산어린이공원,,37.6502196,127.0368189,PARK,"{""leisure"": ""park"", ""name"": ""꿈동산어린이공원""}"
OSM,미화어린이공원,,37.6550059,127.0396918,PARK,"{""leisure"": ""park"", ""name"": ""미화어린이공원""}"
OSM,중랑천 산책로,,37.6633547,127.0502728,FOOTWAY,"{""bicycle"": ""no"", ""highway"": ""footway"", ""name"": ""중랑천 산책로"", ""name:ja"": ""中浪川散策路"", ""surface"": ""asphalt"", ""width"": ""2""}"
OSM,중랑천 산책로,,37.6700791,127.0482495,FOOTWAY,"{""bridge"": ""yes"", ""highway"": ""footway"", ""layer"": ""1"", ""name"": ""중랑천 산책로"", ""surface"": ""asphalt"", ""width"": ""2""}"
OSM,중랑천 산책로,,37.672406,127.0485964,FOOTWAY,"{""bicycle"": ""no"", ""bridge"": ""yes"", ""highway"": ""footway"", ""layer"": ""1"", ""name"": ""중랑천 산책로"", ""surface"": ""asphalt""}"
OSM,중랑천 산책로,,37.6729751,127.0486691,FOOTWAY,"{""bicycle"": ""no"", ""highway"": ""footway"", ""name"": ""중랑천 산책로"", ""surface"": ""asphalt"", ""width"": ""2""}"
OSM,중랑천 산책로,,37.6794289,127.0505019,FOOTWAY,"{""bicycle"": ""no"", ""bridge"": ""yes"", ""highway"": ""footway"", ""layer"": ""1"", ""name"": ""중랑천 산책로"", ""surface"": ""asphalt"", ""width"": ""2""}"
OSM,중랑천 산책로,,37.660838,127.0509076,FOOTWAY,"{""bicycle"": ""no"", ""bridge"": ""yes"", ""highway"": ""footway"", ""layer"": ""1"", ""name"": ""중랑천 산책로"", ""surface"": ""asphalt"", ""width"": ""2""}"
OSM,중랑천 산책로,,37.6737331,127.0487914,FOOTWAY,"{""bicycle"": ""no"", ""highway"": ""footway"", ""name"": ""중랑천 산책로"", ""surface"": ""asphalt"", ""width"": ""2""}"
OSM,중랑천 산책로,,37.6735439,127.0487454,FOOTWAY,"{""bicycle"": ""no"", ""bridge"": ""yes"", ""highway"": ""footway"", ""layer"": ""1"", ""name"": ""중랑천 산책로"", ""surface"": ""asphalt"", ""width"": ""2""}"
OSM,중랑천 산책로,,37.6668995,127.0489856,FOOTWAY,"{""bicycle"": ""no"", ""highway"": ""footway"", ""name"": ""중랑천 산책로"", ""surface"": ""asphalt"", ""width"": ""2""}"
OSM,중랑천 산책로,,37.6658404,127.0495851,FOOTWAY,"{""bridge"": ""yes"", ""highway"": ""footway"", ""layer"": ""1"", ""name"": ""중랑천 산책로"", ""surface"": ""asphalt"", ""width"": ""2""}"
OSM,중랑천 산책로,,37.6507054,127.0543261,FOOTWAY,"{""bicycle"": ""no"", ""highway"": ""footway"", ""name"": ""중랑천 산책로"", ""surface"": ""asphalt"", ""width"": ""2""}"
OSM,중랑천 자전거길 출입로,,37.6840105,127.0517195,FOOTWAY,"{""bicycle"": ""yes"", ""crossing"": ""marked"", ""crossing:markings"": ""yes"", ""footway"": ""crossing"", ""highway"": ""footway"", ""name"": ""중랑천 자전거길 출입로"", ""surface"": ""asphalt""}"
OSM,중랑천 산책로,,37.6765868,127.0496531,FOOTWAY,"{""bicycle"": ""no"", ""footway"": ""sidewalk"", ""highway"": ""footway"", ""name"": ""중랑천 산책로"", ""surface"": ""asphalt"", ""width"": ""2""}"
OSM,중랑천 자전거길 출입로,,37.6816822,127.051083,FOOTWAY,"{""bicycle"": ""yes"", ""crossing"": ""marked"", ""crossing:markings"": ""yes"", ""footway"": ""crossing"", ""handrail"": ""yes"", ""highway"": ""footway"", ""lit"": ""yes"", ""name"": ""중랑천 자전거길 출입로"", ""surface"": ""asphalt""}"
OSM,도봉로170길,,37.6802395,127.047508,FOOTWAY,"{""bicycle"": ""yes"", ""crossing"": ""marked"", ""crossing:markings"": ""yes"", ""footway"": ""crossing"", ""highway"": ""footway"", ""name"": ""도봉로170길"", ""name:en"": ""Dobong-ro 170-gil"", ""name:ko"": ""도봉로170길"", ""surface"": ""asphalt"", ""width"": ""2""}"
OSM,갈대밭 어린이공원,,37.6743459,127.0458147,PARK,"{""leisure"": ""park"", ""name"": ""갈대밭 어린이공원""}"
OSM,도봉로,,37.6779409,127.0451871,FOOTWAY,"{""bicycle"": ""yes"", ""crossing"": ""marked"", ""crossing:markings"": ""yes"", ""footway"": ""crossing"", ""highway"": ""footway"", ""name"": ""도봉로"", ""name:en"": ""Dobong-ro"", ""name:ko"": ""도봉로"", ""surface"": ""asphalt"", ""width"": ""2""}"
OSM,도봉로,,37.6712619,127.0436423,FOOTWAY,"{""bicycle"": ""yes"", ""crossing"": ""marked"", ""crossing:markings"": ""yes"", ""footway"": ""crossing"", ""highway"": ""footway"", ""name"": ""도봉로"", ""name:en"": ""Dobong-ro"", ""name:ko"": ""도봉로"", ""surface"": ""asphalt"", ""width"": ""3""}"
OSM,도봉로,,37.6712579,127.0440838,FOOTWAY,"{""bicycle"": ""yes"", ""crossing"": ""marked"", ""crossing:markings"": ""yes"", ""footway"": ""crossing"", ""highway"": ""footway"", ""name"": ""도봉로"", ""name:en"": ""Dobong-ro"", ""name:ko"": ""도봉로"", ""surface"": ""asphalt"", ""width"": ""2""}"
OSM,도봉로,,37.6695801,127.0438186,FOOTWAY,"{""bicycle"": ""yes"", ""crossing"": ""marked"", ""crossing:markings"": ""yes"", ""footway"": ""crossing"", ""highway"": ""footway"", ""name"": ""도봉로"", ""name:en"": ""Dobong-ro"", ""name:ko"": ""도봉로"", ""surface"": ""asphalt"", ""width"": ""2""}"
OSM,도봉로,,37.6670437,127.0433713,FOOTWAY,"{""bicycle"": ""yes"", ""crossing"": ""uncontrolled"", ""crossing:markings"": ""yes"", ""footway"": ""crossing"", ""highway"": ""footway"", ""name"": ""도봉로"", ""name:en"": ""Dobong-ro"", ""name:ko"": ""도봉로"", ""surface"": ""asphalt"", ""width"": ""2""}"
OSM,도봉로,,37.6660791,127.0432225,FOOTWAY,"{""bicycle"": ""yes"", ""crossing"": ""uncontrolled"", ""crossing:markings"": ""yes"", ""footway"": ""crossing"", ""highway"": ""footway"", ""name"": ""도봉로"", ""name:en"": ""Dobong-ro"", ""name:ko"": ""도봉로"", ""surface"": ""asphalt"", ""width"": ""2""}"
OSM,중랑천 산책로,,37.6820118,127.0511762,FOOTWAY,"{""bicycle"": ""no"", ""footway"": ""sidewalk"", ""highway"": ""footway"", ""name"": ""중랑천 산책로"", ""surface"": ""asphalt"", ""width"": ""2""}"
OSM,중랑천 산책로,,37.6712378,127.0484233,FOOTWAY,"{""access"": ""no"", ""bicycle"": ""no"", ""foot"": ""designated"", ""highway"": ""footway"", ""name"": ""중랑천 산책로"", ""surface"": ""asphalt"", ""width"": ""2""}"
OSM,도봉산역,,37.6891914,127.0466943,FOOTWAY,"{""highway"": ""footway"", ""lit"": ""yes"", ""name"": ""도봉산역"", ""surface"": ""paving_stones"", ""width"": ""3""}"
OSM,북한산 아이파크 공원,,37.6578849,127.0437438,PARK,"{""leisure"": ""park"", ""name"": ""북한산 아이파크 공원""}"
OSM,금성윗들 소공원,,37.6676648,127.0447755,PARK,"{""addr:city"": ""서울특별시"", ""addr:district"": ""도봉구"", ""addr:postcode"": ""01332"", ""addr:street"": ""도봉로150마길"", ""leisure"": ""park"", ""name"": ""금성윗들 소공원""}"
OSM,북한산둘레길 18구간 도봉옛길,,37.6844497,127.0300981,FOOTWAY,"{""bicycle"": ""no"", ""handrail"": ""yes"", ""highway"": ""footway"", ""name"": ""북한산둘레길 18구간 도봉옛길"", ""sac_scale"": ""hiking"", ""surface"": ""wood"", ""width"": ""1.6""}"
OSM,중랑천 산책로,,37.6689801,127.0483376,FOOTWAY,"{""bicycle"": ""no"", ""highway"": ""footway"", ""name"": ""중랑천 산책로"", ""surface"": ""asphalt"", ""width"": ""2""}"
OSM,가을단풍길 (중랑천변길),,37.6751019,127.0492313,FOOTWAY,"{""bicycle"": ""dismount"", ""highway"": ""footway"", ""lit"": ""yes"", ""name"": ""가을단풍길 (중랑천변길)"", ""name:ko"": ""가을단풍길 (중랑천변길)"", ""oneway"": ""no"", ""surface"": ""ground"", ""width"": ""3""}"
OSM,노해로66길,,37.6466511,127.0499625,FOOTWAY,"{""highway"": ""footway"", ""name"": ""노해로66길"", ""name:en"": ""Nohae-ro 66-gil"", ""name:ko"": ""노해로66길""}"
OSM,다락원 체육공원,,37.6921713,127.0476263,PARK,"{""leisure"": ""park"", ""name"": ""다락원 체육공원"", ""name:ko"": ""다락원 체육공원""}"
OSM,중랑천 산책로,,37.679887,127.0506121,FOOTWAY,"{""bicycle"": ""no"", ""bridge"": ""yes"", ""footway"": ""sidewalk"", ""highway"": ""footway"", ""layer"": ""1"", ""name"": ""중랑천 산책로"", ""surface"": ""asphalt"", ""width"": ""2""}"
OSM,중랑천 산책로,,37.679679,127.0505523,FOOTWAY,"{""bicycle"": ""no"", ""footway"": ""sidewalk"", ""highway"": ""footway"", ""name"": ""중랑천 산책로"", ""surface"": ""asphalt"", ""width"": ""2""}"
OSM,중랑천 산책로,,37.6584996,127.0521111,FOOTWAY,"{""bicycle"": ""no"", ""highway"": ""footway"", ""name"": ""중랑천 산책로"", ""surface"": ""asphalt"", ""width"": ""2""}"
OSM,중랑천 산책로,,37.6561741,127.0533312,FOOTWAY,"{""bicycle"": ""no"", ""bridge"": ""yes"", ""highway"": ""footway"", ""layer"": ""1"", ""name"": ""중랑천 산책로"", ""surface"": ""asphalt"", ""width"": ""2""}"
OSM,도봉로,,37.6696535,127.0438397,FOOTWAY,"{""bicycle"": ""yes"", ""footway"": ""sidewalk"", ""highway"": ""footway"", ""name"": ""도봉로"", ""name:en"": ""Dobong-ro"", ""name:ko"": ""도봉로"", ""surface"": ""asphalt"", ""width"": ""2""}"
OSM,개나리어린이공원,,37.6673447,127.0371253,PARK,"{""leisure"": ""park"", ""name"": ""개나리어린이공원""}"
OSM,북한산둘레길 18코스 도봉옛길 (무장애 탐방구간),,37.6838518,127.0305088,FOOTWAY,"{""bicycle"": ""no"", ""handrail"": ""yes"", ""highway"": ""footway"", ""name"": ""북한산둘레길 18코스 도봉옛길 (무장애 탐방구간)"", ""sac_scale"": ""hiking"", ""surface"": ""wood"", ""width"": ""1.6""}"
OSM,[북한산둘레길] 20구간 왕실묘역길,,37.6615332,127.0153041,FOOTWAY,"{""bicycle"": ""yes"", ""footway"": ""sidewalk"", ""highway"": ""footway"", ""name"": ""[북한산둘레길] 20구간 왕실묘역길"", ""surface"": ""paving_stones"", ""width"": ""2""}"
OSM,[북한산둘레길] 20구간 왕실묘역길,,37.6614771,127.0158533,FOOTWAY,"{""bicycle"": ""yes"", ""footway"": ""sidewalk"", ""highway"": ""footway"", ""name"": ""[북한산둘레길] 20구간 왕실묘역길"", ""surface"": ""paving_stones"", ""width"": ""2""}"
OSM,평화도봉공원,,37.6631453,127.0421286,PARK,"{""leisure"": ""park"", ""name"": ""평화도봉공원""}"
OSM,북한산둘레길,,37.6689746,127.0241304,HIKING,"{""name"": ""북한산둘레길"", ""route"": ""hiking"", ""type"": ""route""}"
OSM,북한산둘레길,,37.7035815,127.0061364,HIKING,"{""name"": ""북한산둘레길"", ""name:en"": ""Bukhansan Dulle-gil"", ""name:ko"": ""북한산둘레길"", ""operator"": ""북한산국립공원관리공단"", ""route"": ""hiking"", ""type"": ""route""}"
OSM,[북한산둘레길] 17구간 다락원길,,37.7008254,127.0419233,HIKING,"{""from"": ""원도봉입구"", ""name"": ""[북한산둘레길] 17구간 다락원길"", ""route"": ""hiking"", ""to"": ""다락원"", ""type"": ""route""}"
OSM,[북한산둘레길] 18구간 도봉옛길,,37.6852087,127.0344615,HIKING,"{""name"": ""[북한산둘레길] 18구간 도봉옛길"", ""route"": ""hiking"", ""type"": ""route""}"
OSM,[북한산둘레길] 19구간 방학동길,,37.6693503,127.0287522,HIKING,"{""name"": ""[북한산둘레길] 19구간 방학동길"", ""route"": ""hiking"", ""type"": ""route""}"
OSM,서울둘레길 1코스 수락-불암산코스,,37.6551996,127.0696555,HIKING,"{""fixme"": ""Should be splitted to courses 1, 2 and 3 according to new 21-courses splitting scheme, started in 04.2024"", ""from"": ""도봉산역"", ""name"": ""서울둘레길 1코스 수락-불암산코스"", ""name:en"": ""[Seoul Trail] Courses 1, 2, 3"", ""name:ko"": ""서울둘레길 1코스 수락-불암산코스"", ""network"": ""lwn"", ""operator"": ""서울시"", ""route"": ""hiking"", ""to"": ""철쭉동산"", ""type"": ""route""}"
OSM,한북정맥,,37.9279554,127.1271416,HIKING,"{""name"": ""한북정맥"", ""name:en"": ""Hanbuk Jeongmaek"", ""name:ko"": ""한북정맥"", ""name:ko-Hani"": ""漢北正脈"", ""name:ko-Latn"": ""Hanbuk Jeongmaek"", ""name:zh"": ""漢北正脈"", ""network"": ""nwn"", ""route"": ""hiking"", ""type"": ""route"", ""website"": ""http://www.openbaekdudaegan.org""}"
OSM,[서울둘레길] 21코스 / 북한산 도봉코스,,37.675187,127.0296383,HIKING,"{""distance"": ""7.3 km"", ""name"": ""[서울둘레길] 21코스 / 북한산 도봉코스"", ""name:en"": ""[Seoul Trail] Course 21 / Bukhansan Dobong Course"", ""name:ko"": ""[서울둘레길] 21코스 / 북한산 도봉코스"", ""network"": ""lwn"", ""ref"": ""21"", ""roundtrip"": ""no"", ""route"": ""hiking"", ""survey:date"": ""2024-04-17"", ""type"": ""route""}"
